Area,Item,Year,Value,Pesticides,average_rain_fall,avg_temp
Albania,Barley,1990,1000.0,121.0,1485.0,16.37
Albania,Barley,1991,923.1,121.0,1485.0,15.36
Albania,Barley,1992,1380.2,121.0,1485.0,16.06
Albania,Barley,1993,1332.4,121.0,1485.0,16.05
Albania,Barley,1994,2352.3,201.0,1485.0,16.96
Albania,Barley,1995,2252.7,251.0,1485.0,15.67
Albania,Barley,1996,1337.9,262.4,1485.0,15.64
Albania,Barley,1997,1457.3,273.79,1485.0,15.9
Albania,Barley,1998,1910.6,285.19,1485.0,16.27
Albania,Barley,1999,1812.5,296.59,1485.0,16.57
Albania,Barley,2000,1500.0,307.98,1485.0,16.67
Albania,Barley,2001,2500.0,319.38,1485.0,16.59
Albania,Barley,2002,4750.0,330.78,1485.0,16.47
Albania,Barley,2004,2466.7,353.57,1485.0,16.16
Albania,Barley,2005,2729.7,364.97,1485.0,15.67
Albania,Barley,2006,2758.6,376.36,1485.0,15.92
Albania,Barley,2007,2500.0,387.76,1485.0,16.67
Albania,Barley,2008,2571.4,399.16,1485.0,16.71
Albania,Barley,2009,2647.1,410.55,1485.0,16.73
Albania,Barley,2010,2920.0,590.5,1485.0,16.52
Albania,Barley,2011,3063.4,582.68,1485.0,16.45
Albania,Barley,2012,2800.0,361.62,1485.0,16.7
Albania,Barley,2013,2788.0,450.6,1485.0,17.41
Albania,Maize (corn),1990,3661.3,121.0,1485.0,16.37
Albania,Maize (corn),1991,2906.8,121.0,1485.0,15.36
Albania,Maize (corn),1992,2487.6,121.0,1485.0,16.06
Albania,Maize (corn),1993,2418.5,121.0,1485.0,16.05
Albania,Maize (corn),1994,2584.8,201.0,1485.0,16.96
Albania,Maize (corn),1995,3130.0,251.0,1485.0,15.67
Albania,Maize (corn),1996,3260.4,262.4,1485.0,15.64
Albania,Maize (corn),1997,3186.2,273.79,1485.0,15.9
Albania,Maize (corn),1998,3341.6,285.19,1485.0,16.27
Albania,Maize (corn),1999,3745.5,296.59,1485.0,16.57
Albania,Maize (corn),2000,3881.1,307.98,1485.0,16.67
Albania,Maize (corn),2001,3813.5,319.38,1485.0,16.59
Albania,Maize (corn),2002,3946.0,330.78,1485.0,16.47
Albania,Maize (corn),2004,4619.7,353.57,1485.0,16.16
Albania,Maize (corn),2005,4544.2,364.97,1485.0,15.67
Albania,Maize (corn),2006,5011.1,376.36,1485.0,15.92
Albania,Maize (corn),2007,4673.2,387.76,1485.0,16.67
Albania,Maize (corn),2008,5000.0,399.16,1485.0,16.71
Albania,Maize (corn),2009,5569.3,410.55,1485.0,16.73
Albania,Maize (corn),2010,6679.0,590.5,1485.0,16.52
Albania,Maize (corn),2011,5986.9,582.68,1485.0,16.45
Albania,Maize (corn),2012,6729.0,361.62,1485.0,16.7
Albania,Maize (corn),2013,6953.3,450.6,1485.0,17.41
Albania,Oats,1990,750.0,121.0,1485.0,16.37
Albania,Oats,1991,750.0,121.0,1485.0,15.36
Albania,Oats,1992,940.4,121.0,1485.0,16.06
Albania,Oats,1993,1225.2,121.0,1485.0,16.05
Albania,Oats,1994,1735.4,201.0,1485.0,16.96
Albania,Oats,1995,1209.0,251.0,1485.0,15.67
Albania,Oats,1996,1208.9,262.4,1485.0,15.64
Albania,Oats,1997,1171.3,273.79,1485.0,15.9
Albania,Oats,1998,1596.2,285.19,1485.0,16.27
Albania,Oats,1999,1320.0,296.59,1485.0,16.57
Albania,Oats,2000,1467.3,307.98,1485.0,16.67
Albania,Oats,2001,1429.9,319.38,1485.0,16.59
Albania,Oats,2002,1655.5,330.78,1485.0,16.47
Albania,Oats,2004,1818.9,353.57,1485.0,16.16
Albania,Oats,2005,1738.1,364.97,1485.0,15.67
Albania,Oats,2006,1689.7,376.36,1485.0,15.92
Albania,Oats,2007,1621.2,387.76,1485.0,16.67
Albania,Oats,2008,1568.3,399.16,1485.0,16.71
Albania,Oats,2009,1923.1,410.55,1485.0,16.73
Albania,Oats,2010,1950.0,590.5,1485.0,16.52
Albania,Oats,2011,2310.7,582.68,1485.0,16.45
Albania,Oats,2012,2160.0,361.62,1485.0,16.7
Albania,Oats,2013,1985.3,450.6,1485.0,17.41
Albania,Potatoes,1990,6666.7,121.0,1485.0,16.37
Albania,Potatoes,1991,7781.8,121.0,1485.0,15.36
Albania,Potatoes,1992,8292.0,121.0,1485.0,16.06
Albania,Potatoes,1993,9844.6,121.0,1485.0,16.05
Albania,Potatoes,1994,8140.4,201.0,1485.0,16.96
Albania,Potatoes,1995,11132.3,251.0,1485.0,15.67
Albania,Potatoes,1996,10613.8,262.4,1485.0,15.64
Albania,Potatoes,1997,10987.4,273.79,1485.0,15.9
Albania,Potatoes,1998,12721.2,285.19,1485.0,16.27
Albania,Potatoes,1999,14201.8,296.59,1485.0,16.57
Albania,Potatoes,2000,14122.8,307.98,1485.0,16.67
Albania,Potatoes,2001,14881.8,319.38,1485.0,16.59
Albania,Potatoes,2002,15386.8,330.78,1485.0,16.47
Albania,Potatoes,2004,14934.6,353.57,1485.0,16.16
Albania,Potatoes,2005,16706.1,364.97,1485.0,15.67
Albania,Potatoes,2006,17074.5,376.36,1485.0,15.92
Albania,Potatoes,2007,18890.2,387.76,1485.0,16.67
Albania,Potatoes,2008,19387.8,399.16,1485.0,16.71
Albania,Potatoes,2009,21978.0,410.55,1485.0,16.73
Albania,Potatoes,2010,23111.1,590.5,1485.0,16.52
Albania,Potatoes,2011,24221.1,582.68,1485.0,16.45
Albania,Potatoes,2012,25053.8,361.62,1485.0,16.7
Albania,Potatoes,2013,26011.0,450.6,1485.0,17.41
Albania,Rice,1990,2333.3,121.0,1485.0,16.37
Albania,Rice,1991,2853.8,121.0,1485.0,15.36
Albania,Rice,1992,4000.0,121.0,1485.0,16.06
Albania,Rice,1993,4178.6,121.0,1485.0,16.05
Albania,Sorghum,1990,1250.0,121.0,1485.0,16.37
Albania,Sorghum,1991,666.7,121.0,1485.0,15.36
Albania,Sorghum,1992,377.3,121.0,1485.0,16.06
Albania,Soya beans,1990,700.0,121.0,1485.0,16.37
Albania,Soya beans,1991,606.6,121.0,1485.0,15.36
Albania,Soya beans,1992,450.7,121.0,1485.0,16.06
Albania,Soya beans,1993,799.8,121.0,1485.0,16.05
Albania,Soya beans,1994,792.7,201.0,1485.0,16.96
Albania,Soya beans,1995,1179.1,251.0,1485.0,15.67
Albania,Soya beans,1996,1548.0,262.4,1485.0,15.64
Albania,Soya beans,1997,1276.8,273.79,1485.0,15.9
Albania,Soya beans,1998,1432.7,285.19,1485.0,16.27
Albania,Soya beans,1999,1714.3,296.59,1485.0,16.57
Albania,Soya beans,2000,1500.0,307.98,1485.0,16.67
Albania,Soya beans,2001,2000.0,319.38,1485.0,16.59
Albania,Soya beans,2002,2000.0,330.78,1485.0,16.47
Albania,Soya beans,2004,1333.3,353.57,1485.0,16.16
Albania,Soya beans,2005,1750.0,364.97,1485.0,15.67
Albania,Soya beans,2006,2000.0,376.36,1485.0,15.92
Albania,Soya beans,2007,2000.0,387.76,1485.0,16.67
Albania,Soya beans,2008,2000.0,399.16,1485.0,16.71
Albania,Soya beans,2009,1666.7,410.55,1485.0,16.73
Albania,Soya beans,2010,1666.7,590.5,1485.0,16.52
Albania,Soya beans,2011,1851.9,582.68,1485.0,16.45
Albania,Soya beans,2012,1333.3,361.62,1485.0,16.7
Albania,Soya beans,2013,1000.0,450.6,1485.0,17.41
Albania,Wheat,1990,3019.7,121.0,1485.0,16.37
Albania,Wheat,1991,2069.8,121.0,1485.0,15.36
Albania,Wheat,1992,2438.8,121.0,1485.0,16.06
Albania,Wheat,1993,2997.6,121.0,1485.0,16.05
Albania,Wheat,1994,2474.5,201.0,1485.0,16.96
Albania,Wheat,1995,2870.3,251.0,1485.0,15.67
Albania,Wheat,1996,2174.1,262.4,1485.0,15.64
Albania,Wheat,1997,2851.6,273.79,1485.0,15.9
Albania,Wheat,1998,2803.7,285.19,1485.0,16.27
Albania,Wheat,1999,2495.4,296.59,1485.0,16.57
Albania,Wheat,2000,3045.5,307.98,1485.0,16.67
Albania,Wheat,2001,2822.0,319.38,1485.0,16.59
Albania,Wheat,2002,3161.7,330.78,1485.0,16.47
Albania,Wheat,2004,3113.0,353.57,1485.0,16.16
Albania,Wheat,2005,3158.2,364.97,1485.0,15.67
Albania,Wheat,2006,3078.7,376.36,1485.0,15.92
Albania,Wheat,2007,3549.6,387.76,1485.0,16.67
Albania,Wheat,2008,4016.8,399.16,1485.0,16.71
Albania,Wheat,2009,4022.9,410.55,1485.0,16.73
Albania,Wheat,2010,3990.5,590.5,1485.0,16.52
Albania,Wheat,2011,4230.1,582.68,1485.0,16.45
Albania,Wheat,2012,4109.6,361.62,1485.0,16.7
Albania,Wheat,2013,4129.2,450.6,1485.0,17.41
Algeria,Barley,1990,761.0,5743.46,89.0,17.48
Algeria,Barley,1991,1163.5,7094.39,89.0,16.26
Algeria,Barley,1992,897.5,3876.18,89.0,16.27
Algeria,Barley,1993,625.2,3710.0,89.0,17.0
Algeria,Barley,1994,648.2,4058.62,89.0,17.88
Algeria,Barley,1995,709.8,6255.63,89.0,17.36
Algeria,Barley,1996,1403.7,2190.88,89.0,16.76
Algeria,Barley,1997,720.8,1822.16,89.0,17.84
Algeria,Barley,1998,745.3,1498.96,89.0,17.14
Algeria,Barley,1999,1087.5,2228.17,89.0,17.97
Algeria,Barley,2000,757.3,2537.4,89.0,17.9
Algeria,Barley,2001,1114.3,2846.64,89.0,18.13
Algeria,Barley,2002,1036.7,3155.87,89.0,17.85
Algeria,Barley,2004,1323.5,3774.35,89.0,17.38
Algeria,Barley,2005,1508.5,2810.61,89.0,17.19
Algeria,Barley,2006,1521.5,2504.01,89.0,18.13
Algeria,Barley,2007,1221.8,3562.52,89.0,17.42
Algeria,Barley,2008,908.2,5720.11,89.0,17.55
Algeria,Barley,2009,1761.6,3168.41,89.0,17.78
Algeria,Barley,2010,1476.2,1869.58,89.0,17.59
Algeria,Barley,2011,1476.0,7612.21,89.0,17.79
Algeria,Barley,2012,1544.6,8980.17,89.0,17.91
Algeria,Barley,2013,1669.4,8269.57,89.0,17.65
Algeria,"Chick peas, dry",1990,440.2,5743.46,89.0,17.48
Algeria,"Chick peas, dry",1991,543.2,7094.39,89.0,16.26
Algeria,"Chick peas, dry",1992,624.6,3876.18,89.0,16.27
Algeria,"Chick peas, dry",1993,598.4,3710.0,89.0,17.0
Algeria,"Chick peas, dry",1994,334.7,4058.62,89.0,17.88
Algeria,"Chick peas, dry",1995,415.3,6255.63,89.0,17.36
Algeria,"Chick peas, dry",1996,736.4,2190.88,89.0,16.76
Algeria,"Chick peas, dry",1997,524.4,1822.16,89.0,17.84
Algeria,"Chick peas, dry",1998,614.0,1498.96,89.0,17.14
Algeria,"Chick peas, dry",1999,471.5,2228.17,89.0,17.97
Algeria,"Chick peas, dry",2000,341.9,2537.4,89.0,17.9
Algeria,"Chick peas, dry",2001,638.3,2846.64,89.0,18.13
Algeria,"Chick peas, dry",2002,774.5,3155.87,89.0,17.85
Algeria,"Chick peas, dry",2004,709.2,3774.35,89.0,17.38
Algeria,"Chick peas, dry",2005,587.9,2810.61,89.0,17.19
Algeria,"Chick peas, dry",2006,597.9,2504.01,89.0,18.13
Algeria,"Chick peas, dry",2007,691.2,3562.52,89.0,17.42
Algeria,"Chick peas, dry",2008,550.6,5720.11,89.0,17.55
Algeria,"Chick peas, dry",2009,800.9,3168.41,89.0,17.78
Algeria,"Chick peas, dry",2010,919.6,1869.58,89.0,17.59
